s.index,Longitude,Latitude,utmx,utmy,xmaxtemp,xwdsp,xrh
1,-72,45.2,735621.288,5009547.284,25.7423441140323,3.86835266282195,3.78628540429473
2,-72,44.6666666666667,737814.272,4950301.135,26.1526688020007,4.00982019221542,3.76820927408027
3,-72,44.1333333333333,739986.552,4891059.024,26.5605416347394,4.14411247609148,3.75333050225498
4,-72,43.6,742137.944,4831820.948,26.9644622349262,4.27965284727803,3.74262049191869
5,-72,43.0666666666667,744268.264,4772586.905,27.3607692139012,4.43572119846085,3.73679889329138
6,-72,42.5333333333333,746377.331,4713356.888,27.7411496486437,4.63635740963265,3.73806279245498
7,-72,42,748464.964,4654130.891,28.0939801283603,4.89808399823739,3.74976736272065
8,-72,41.4666666666667,750530.986,4594908.906,28.42003637405,5.21253661592698,3.77018297646799
9,-72,40.9333333333333,752575.222,4535690.925,28.7833708487557,5.50050061324169,3.77428235450298
10,-72,40.4,754597.497,4476476.935,29.259668061194,5.66236021972702,3.73368781319351
11,-72.8555555555556,45.2,668425.787,5007405.267,25.6039621906026,3.99112911062812,3.79042987473548
12,-72.8555555555556,44.6666666666667,669992.657,4948159.236,26.0152081900953,4.115231340412,3.76589304180818
13,-72.8555555555556,44.1333333333333,671544.715,4888917.985,26.4233750518862,4.20455584495147,3.74976909962845
14,-72.8555555555556,43.6,673081.829,4829681.512,26.8305742595271,4.26130137250914,3.74287602980807
15,-72.8555555555556,43.0666666666667,674603.868,4770449.812,27.2400032789624,4.3352490209299,3.7389687630835
16,-72.8555555555556,42.5333333333333,676110.704,4711222.879,27.6413394335501,4.51168465348009,3.73987944391587
17,-72.8555555555556,42,677602.207,4652000.706,28.0016637485948,4.8218298510762,3.75872609260472
18,-72.8555555555556,41.4666666666667,679078.253,4592783.284,28.2819514200577,5.32183664353935,3.80645684558055
19,-72.8555555555556,40.9333333333333,680538.714,4533570.601,28.4892161530511,5.9652870261189,3.87453757339108
20,-72.8555555555556,40.4,681983.469,4474362.644,29.1447959820352,6.04313342320732,3.7630466478698
21,-73.7111111111111,45.2,601230.087,5005976.244,25.4647066314645,4.14020657750349,3.79388170059742
22,-73.7111111111111,44.6666666666667,602171.549,4946730.307,25.8788574105373,4.27576049816116,3.74600189188294
23,-73.7111111111111,44.1333333333333,603104.103,4887489.645,26.2782288317704,4.32703400657141,3.7257464715048
24,-73.7111111111111,43.6,604027.67,4828254.256,26.6923265206895,4.25853255725839,3.73645042450814
25,-73.7111111111111,43.0666666666667,604942.172,4769024.135,27.1333380582125,4.08282365548556,3.73140267929041
26,-73.7111111111111,42.5333333333333,605847.531,4709799.274,27.632668043971,4.21710436720165,3.69503622827159
27,-73.7111111111111,42,606743.671,4650579.667,28.0576057909306,4.39621401618725,3.7040388103475
28,-73.7111111111111,41.4666666666667,607630.516,4591365.302,28.5978675417858,4.73767824760519,3.68655610650799
29,-73.7111111111111,40.9333333333333,608507.991,4532156.168,29.3403758936822,5.6472263606606,3.56040491074215
30,-73.7111111111111,40.4,609376.021,4472952.251,29.6228381669879,6.05993050827858,3.57344950731696
31,-74.5666666666667,45.2,534034.267,5005259.58,25.3244201457698,4.30684736124528,3.82964774727858
32,-74.5666666666667,44.6666666666667,534350.745,4946013.695,25.726122727074,4.45406109113056,3.80194805746863
33,-74.5666666666667,44.1333333333333,534664.227,4886773.333,26.1168092824083,4.54319399143109,3.7843937850251
34,-74.5666666666667,43.6,534974.687,4827538.492,26.5056462871858,4.53742827997712,3.77139570074553
35,-74.5666666666667,43.0666666666667,535282.099,4768309.166,26.9351210213739,4.49818000123749,3.74733873156878
36,-74.5666666666667,42.5333333333333,535586.436,4709085.35,27.3397783788822,4.46612957659907,3.71880055931262
37,-74.5666666666667,42,535887.672,4649867.034,27.7874469149929,4.49891939292509,3.69356019538143
38,-74.5666666666667,41.4666666666667,536185.783,4590654.207,28.461286705398,4.80928132319979,3.65503969955528
39,-74.5666666666667,40.9333333333333,536480.743,4531446.858,29.0416601162089,5.3418104171791,3.59701880199363
40,-74.5666666666667,40.4,536772.526,4472244.971,29.4265173615833,5.75192116376073,3.58816931592607
41,-75.4222222222222,45.2,466838.406,5005254.957,25.2020508243468,4.49671655140325,3.87728171568587
42,-75.4222222222222,44.6666666666667,466530.044,4946009.072,25.6191429791394,4.70440204642273,3.86980167713822
43,-75.4222222222222,44.1333333333333,466224.599,4886768.712,26.0139768263184,4.87954544086902,3.86581589569377
44,-75.4222222222222,43.6,465922.1,4827533.874,26.3528640208751,4.92505504488099,3.85239863427765
45,-75.4222222222222,43.0666666666667,465622.571,4768304.554,26.6851703516644,4.8878018401624,3.81475069080831
46,-75.4222222222222,42.5333333333333,465326.038,4709080.745,27.099598692862,4.87246309905428,3.76066185687758
47,-75.4222222222222,42,465032.526,4649862.437,27.6174485346979,4.95334683650609,3.72379319717191
