s.index,Longitude,Latitude,utmx,utmy,Year,Month,Day,xmaxtemp,xwdsp,xrh
1,-72,45.2,735621.288,5009547.284,2006,7,1,25.7862339279255,5.60275737066668,3.31154781621671
1,-72,45.2,735621.288,5009547.284,2006,7,2,29.3554553843351,7.94627194169966,3.26038228919374
1,-72,45.2,735621.288,5009547.284,2006,7,3,28.0415687326601,3.89100089032979,2.80406229154808
1,-72,45.2,735621.288,5009547.284,2006,7,4,26.5501425743029,3.3243287428064,4.45959602441291
1,-72,45.2,735621.288,5009547.284,2006,7,5,24.6578970647092,5.22167207113807,4.09621400486633
1,-72,45.2,735621.288,5009547.284,2006,7,6,23.542289198382,3.23573000442084,3.73735706893479
1,-72,45.2,735621.288,5009547.284,2006,7,7,26.7945425442399,3.57099233289821,3.23589911378833
1,-72,45.2,735621.288,5009547.284,2006,7,8,28.0292959897703,2.53859770125237,3.02221853299517
1,-72,45.2,735621.288,5009547.284,2006,7,9,28.345405096162,3.0850916005999,3.13560448026048
1,-72,45.2,735621.288,5009547.284,2006,7,10,29.3400347318709,2.91898695180665,2.93823916931267
1,-72,45.2,735621.288,5009547.284,2006,7,11,24.5612027842218,4.18233327712364,4.70946314401595
1,-72,45.2,735621.288,5009547.284,2006,7,12,21.993441497907,0.259550281216469,5.45327339358203
1,-72,45.2,735621.288,5009547.284,2006,7,13,28.1375812086123,5.22278388421888,3.94355771825059
1,-72,45.2,735621.288,5009547.284,2006,7,14,31.1059550372827,3.22256112876605,2.99554519886697
1,-72,45.2,735621.288,5009547.284,2006,7,15,28.134015996689,1.92976229859536,4.07994434939331
1,-72,45.2,735621.288,5009547.284,2006,7,16,30.7533465323287,2.90595036555986,3.55771137435072
1,-72,45.2,735621.288,5009547.284,2006,7,17,32.2554865740315,4.43444690844042,3.3444180061515
1,-72,45.2,735621.288,5009547.284,2006,7,18,28.7298419286255,4.67263121438702,3.89274346069549
1,-72,45.2,735621.288,5009547.284,2006,7,19,28.1092658989183,1.82398693209331,2.96859596112735
1,-72,45.2,735621.288,5009547.284,2006,7,20,30.1987846616448,4.76799705196194,2.68214421848196
1,-72,45.2,735621.288,5009547.284,2006,7,21,27.2033324116315,3.21025691897262,4.19112354756699
1,-72,45.2,735621.288,5009547.284,2006,7,22,22.7679406705563,3.41464460949989,5.31271929275851
1,-72,45.2,735621.288,5009547.284,2006,7,23,23.3484386529424,4.21693624769564,4.32034313673495
1,-72,45.2,735621.288,5009547.284,2006,7,24,26.0165098900517,2.52086774662039,3.39923641961073
1,-72,45.2,735621.288,5009547.284,2006,7,25,28.5141825534224,6.0701802687178,3.66628717578103
1,-72,45.2,735621.288,5009547.284,2006,7,26,29.3371169819439,3.30875381108134,3.88190555930913
1,-72,45.2,735621.288,5009547.284,2006,7,27,30.6944832427238,4.96645540307005,3.63837747751344
1,-72,45.2,735621.288,5009547.284,2006,7,28,25.0149112125527,2.74537211280955,5.69818653127646
1,-72,45.2,735621.288,5009547.284,2006,7,29,29.0595794487216,5.26018370650009,4.17065627447269
1,-72,45.2,735621.288,5009547.284,2006,7,30,24.6194163236929,4.51153691878597,3.58576728910401
1,-72,45.2,735621.288,5009547.284,2006,7,31,27.4042505196287,2.48618128979397,2.97077103139942
1,-72,45.2,735621.288,5009547.284,2006,7,1,34.7203872166182,5.24308068891934,3.20788338271285
1,-72,45.2,735621.288,5009547.284,2006,7,2,31.3705565538583,5.33736664169624,4.10072205963476
1,-72,45.2,735621.288,5009547.284,2006,7,3,28.0417864146125,4.61408021086042,4.15457526356641
1,-72,45.2,735621.288,5009547.284,2006,7,4,28.3032138641057,2.76516841659761,3.94225684966239
